bid,p_win,p_win_pct,p_win_pct_mc_se,mean_if_win,conditional_surplus_v1500,unconditional_utility_v1500,utility_v1500_mc_se,relative_utility
240.63,5e-324,4.94e-322,0.0,164.75363333333334,1335.2463666666667,6.596e-321,0.0,8.7e-322
240.88,5e-324,4.94e-322,0.0,164.75363333333334,1335.2463666666667,6.596e-321,0.0,8.7e-322
241.13,5e-324,4.94e-322,0.0,164.75366666666667,1335.2463333333333,6.596e-321,0.0,8.7e-322
241.38,5e-324,4.94e-322,0.0,164.7537,1335.2463,6.596e-321,0.0,8.7e-322
241.63,5e-324,4.94e-322,0.0,164.75373333333334,1335.2462666666665,6.596e-321,0.0,8.7e-322
241.88,5e-324,4.94e-322,0.0,164.75373333333334,1335.2462666666665,6.596e-321,0.0,8.7e-322
242.13,5e-324,4.94e-322,0.0,164.75373333333334,1335.2462666666665,6.596e-321,0.0,8.7e-322
242.38,5e-324,4.94e-322,0.0,164.7538,1335.2462,6.596e-321,0.0,8.7e-322
242.63,5e-324,4.94e-322,0.0,164.7538,1335.2462,6.596e-321,0.0,8.7e-322
242.88,5e-324,4.94e-322,0.0,164.7538,1335.2462,6.596e-321,0.0,8.7e-322
243.13,5e-324,4.94e-322,0.0,164.75383333333335,1335.2461666666666,6.596e-321,0.0,8.7e-322
243.38,5e-324,4.94e-322,0.0,164.75383333333335,1335.2461666666666,6.596e-321,0.0,8.7e-322
243.63,5e-324,4.94e-322,0.0,164.75393333333332,1335.2460666666666,6.596e-321,0.0,8.7e-322
243.88,5e-324,4.94e-322,0.0,164.75393333333332,1335.2460666666666,6.596e-321,0.0,8.7e-322
244.13,5e-324,4.94e-322,0.0,164.75393333333332,1335.2460666666666,6.596e-321,0.0,8.7e-322
244.38,5e-324,4.94e-322,0.0,164.75393333333332,1335.2460666666666,6.596e-321,0.0,8.7e-322
244.63,5e-324,4.94e-322,0.0,164.75393333333332,1335.2460666666666,6.596e-321,0.0,8.7e-322
244.88,5e-324,4.94e-322,0.0,164.75396666666666,1335.2460333333333,6.596e-321,0.0,8.7e-322
245.13,5e-324,4.94e-322,0.0,164.754,1335.246,6.596e-321,0.0,8.7e-322
245.38,5e-324,4.94e-322,0.0,164.754,1335.246,6.596e-321,0.0,8.7e-322
245.63,5e-324,4.94e-322,0.0,164.754,1335.246,6.596e-321,0.0,8.7e-322
245.88,5e-324,4.94e-322,0.0,164.75403333333333,1335.2459666666666,6.596e-321,0.0,8.7e-322
246.13,5e-324,4.94e-322,0.0,164.75403333333333,1335.2459666666666,6.596e-321,0.0,8.7e-322
246.38,5e-324,4.94e-322,0.0,164.75406666666666,1335.2459333333334,6.596e-321,0.0,8.7e-322
246.63,5e-324,4.94e-322,0.0,164.75406666666666,1335.2459333333334,6.596e-321,0.0,8.7e-322
246.88,5e-324,4.94e-322,0.0,164.75406666666666,1335.2459333333334,6.596e-321,0.0,8.7e-322
247.13,5e-324,4.94e-322,0.0,164.75406666666666,1335.2459333333334,6.596e-321,0.0,8.7e-322
247.38,5e-324,4.94e-322,0.0,164.75406666666666,1335.2459333333334,6.596e-321,0.0,8.7e-322
247.63,5e-324,4.94e-322,0.0,164.75406666666666,1335.2459333333334,6.596e-321,0.0,8.7e-322
247.88,5e-324,4.94e-322,0.0,164.75406666666666,1335.2459333333334,6.596e-321,0.0,8.7e-322
248.13,5e-324,4.94e-322,0.0,164.7541,1335.2459,6.596e-321,0.0,8.7e-322
248.38,5e-324,4.94e-322,0.0,164.7541,1335.2459,6.596e-321,0.0,8.7e-322
248.63,5e-324,4.94e-322,0.0,164.7541,1335.2459,6.596e-321,0.0,8.7e-322
248.88,5e-324,4.94e-322,0.0,164.75413333333333,1335.2458666666666,6.596e-321,0.0,8.7e-322
249.13,5e-324,4.94e-322,0.0,164.75413333333333,1335.2458666666666,6.596e-321,0.0,8.7e-322
249.38,5e-324,4.94e-322,0.0,164.75413333333333,1335.2458666666666,6.596e-321,0.0,8.7e-322
249.63,5e-324,4.94e-322,0.0,164.75416666666666,1335.2458333333334,6.596e-321,0.0,8.7e-322
249.88,5e-324,4.94e-322,0.0,164.75423333333333,1335.2457666666667,6.596e-321,0.0,8.7e-322
250.13,5e-324,4.94e-322,0.0,164.75423333333333,1335.2457666666667,6.596e-321,0.0,8.7e-322
250.38,5e-324,4.94e-322,0.0,164.75423333333333,1335.2457666666667,6.596e-321,0.0,8.7e-322
250.63,5e-324,4.94e-322,0.0,164.75423333333333,1335.2457666666667,6.596e-321,0.0,8.7e-322
250.88,5e-324,4.94e-322,0.0,164.75423333333333,1335.2457666666667,6.596e-321,0.0,8.7e-322
251.13,5e-324,4.94e-322,0.0,164.75423333333333,1335.2457666666667,6.596e-321,0.0,8.7e-322
251.38,5e-324,4.94e-322,0.0,164.75433333333334,1335.2456666666667,6.596e-321,0.0,8.7e-322
251.63,5e-324,4.94e-322,0.0,164.75433333333334,1335.2456666666667,6.596e-321,0.0,8.7e-322
251.88,5e-324,4.94e-322,0.0,164.75433333333334,1335.2456666666667,6.596e-321,0.0,8.7e-322
252.13,5e-324,4.94e-322,0.0,164.75433333333334,1335.2456666666667,6.596e-321,0.0,8.7e-322
252.38,5e-324,4.94e-322,0.0,164.75433333333334,1335.2456666666667,6.596e-321,0.0,8.7e-322
252.63,5e-324,4.94e-322,0.0,164.75433333333334,1335.2456666666667,6.596e-321,0.0,8.7e-322
252.88,5e-324,4.94e-322,0.0,164.75433333333334,1335.2456666666667,6.596e-321,0.0,8.7e-322
253.13,5e-324,4.94e-322,0.0,164.7544,1335.2456,6.596e-321,0.0,8.7e-322
253.38,5e-324,4.94e-322,0.0,164.75446666666667,1335.2455333333332,6.596e-321,0.0,8.7e-322
253.63,5e-324,4.94e-322,0.0,164.7545,1335.2455,6.596e-321,0.0,8.7e-322
253.88,5e-324,4.94e-322,0.0,164.7545,1335.2455,6.596e-321,0.0,8.7e-322
254.13,5e-324,4.94e-322,0.0,164.75453333333334,1335.2454666666667,6.596e-321,0.0,8.7e-322
254.38,5e-324,4.94e-322,0.0,164.75453333333334,1335.2454666666667,6.596e-321,0.0,8.7e-322
254.63,5e-324,4.94e-322,0.0,164.75453333333334,1335.2454666666667,6.596e-321,0.0,8.7e-322
254.88,5e-324,4.94e-322,0.0,164.75453333333334,1335.2454666666667,6.596e-321,0.0,8.7e-322
255.13,5e-324,4.94e-322,0.0,164.75453333333334,1335.2454666666667,6.596e-321,0.0,8.7e-322
255.38,5e-324,4.94e-322,0.0,164.75453333333334,1335.2454666666667,6.596e-321,0.0,8.7e-322
255.63,5e-324,4.94e-322,0.0,164.75453333333334,1335.2454666666667,6.596e-321,0.0,8.7e-322
255.88,5e-324,4.94e-322,0.0,164.75456666666668,1335.2454333333333,6.596e-321,0.0,8.7e-322
256.13,5e-324,4.94e-322,0.0,164.75456666666668,1335.2454333333333,6.596e-321,0.0,8.7e-322
256.38,5e-324,4.94e-322,0.0,164.7546,1335.2454,6.596e-321,0.0,8.7e-322
256.63,5e-324,4.94e-322,0.0,164.75466666666668,1335.2453333333333,6.596e-321,0.0,8.7e-322
256.88,5e-324,4.94e-322,0.0,164.7547,1335.2453,6.596e-321,0.0,8.7e-322
257.13,5e-324,4.94e-322,0.0,164.75473333333332,1335.2452666666668,6.596e-321,0.0,8.7e-322
257.38,5e-324,4.94e-322,0.0,164.75476666666665,1335.2452333333333,6.596e-321,0.0,8.7e-322
257.63,5e-324,4.94e-322,0.0,164.75476666666665,1335.2452333333333,6.596e-321,0.0,8.7e-322
257.88,5e-324,4.94e-322,0.0,164.7548,1335.2452,6.596e-321,0.0,8.7e-322
258.13,5e-324,4.94e-322,0.0,164.75483333333332,1335.2451666666666,6.596e-321,0.0,8.7e-322
258.38,5e-324,4.94e-322,0.0,164.75486666666666,1335.2451333333333,6.596e-321,0.0,8.7e-322
258.63,5e-324,4.94e-322,0.0,164.7549,1335.2451,6.596e-321,0.0,8.7e-322
258.88,5e-324,4.94e-322,0.0,164.75493333333333,1335.2450666666666,6.596e-321,0.0,8.7e-322
259.13,5e-324,4.94e-322,0.0,164.75493333333333,1335.2450666666666,6.596e-321,0.0,8.7e-322
259.38,5e-324,4.94e-322,0.0,164.75493333333333,1335.2450666666666,6.596e-321,0.0,8.7e-322
259.63,5e-324,4.94e-322,0.0,164.75493333333333,1335.2450666666666,6.596e-321,0.0,8.7e-322
259.88,5e-324,4.94e-322,0.0,164.75496666666666,1335.2450333333334,6.596e-321,0.0,8.7e-322
260.13,5e-324,4.94e-322,0.0,164.75506666666666,1335.2449333333334,6.596e-321,0.0,8.7e-322
260.38,5e-324,4.94e-322,0.0,164.7551,1335.2449,6.596e-321,0.0,8.7e-322
260.63,5e-324,4.94e-322,0.0,164.75513333333333,1335.2448666666667,6.596e-321,0.0,8.7e-322
260.88,5e-324,4.94e-322,0.0,164.75516666666667,1335.2448333333334,6.596e-321,0.0,8.7e-322
261.13,5e-324,4.94e-322,0.0,164.7552,1335.2448,6.596e-321,0.0,8.7e-322
261.38,5e-324,4.94e-322,0.0,164.7552,1335.2448,6.596e-321,0.0,8.7e-322
261.63,5e-324,4.94e-322,0.0,164.7552,1335.2448,6.596e-321,0.0,8.7e-322
261.88,5e-324,4.94e-322,0.0,164.75523333333334,1335.2447666666667,6.596e-321,0.0,8.7e-322
262.13,5e-324,4.94e-322,0.0,164.75523333333334,1335.2447666666667,6.596e-321,0.0,8.7e-322
262.38,5e-324,4.94e-322,0.0,164.75523333333334,1335.2447666666667,6.596e-321,0.0,8.7e-322
262.63,5e-324,4.94e-322,0.0,164.75523333333334,1335.2447666666667,6.596e-321,0.0,8.7e-322
262.88,5e-324,4.94e-322,0.0,164.75523333333334,1335.2447666666667,6.596e-321,0.0,8.7e-322
263.13,5e-324,4.94e-322,0.0,164.75523333333334,1335.2447666666667,6.596e-321,0.0,8.7e-322
263.38,5e-324,4.94e-322,0.0,164.75523333333334,1335.2447666666667,6.596e-321,0.0,8.7e-322
263.63,5e-324,4.94e-322,0.0,164.75526666666667,1335.2447333333334,6.596e-321,0.0,8.7e-322
263.88,5e-324,4.94e-322,0.0,164.7553,1335.2447,6.596e-321,0.0,8.7e-322
264.13,5e-324,4.94e-322,0.0,164.7553,1335.2447,6.596e-321,0.0,8.7e-322
264.38,5e-324,4.94e-322,0.0,164.7553,1335.2447,6.596e-321,0.0,8.7e-322
264.63,5e-324,4.94e-322,0.0,164.7553,1335.2447,6.596e-321,0.0,8.7e-322
264.88,5e-324,4.94e-322,0.0,164.75536666666667,1335.2446333333332,6.596e-321,0.0,8.7e-322
265.13,5e-324,4.94e-322,0.0,164.7554,1335.2446,6.596e-321,0.0,8.7e-322
